hour,Open,High,Low,Close,Volume ETH,Volume USDT,tradecount,drawdown_6h_label
2018-05-27 18:00:00,570.45,573.42,557.43,570.4,24859.28096,14024170.331,24064,1
2018-05-28 00:00:00,570.81,576.2,523.61,527.99,40006.33159,22204758.737999998,41025,0
2018-05-28 06:00:00,527.48,540.21,525.0,529.36,44839.88468,23896699.748999998,37490,0
2018-05-28 12:00:00,529.64,541.38,520.7,526.99,34727.172959999996,18459175.31,29156,1
2018-05-28 18:00:00,526.99,529.44,506.11,511.5,33624.443549999996,17389974.593000002,28466,0
2018-05-29 00:00:00,511.5,529.16,510.0,520.6,38798.72069,20164103.242,25851,0
2018-05-29 06:00:00,520.63,556.47,517.38,552.9,51239.12834,27304951.504,34803,0
2018-05-29 12:00:00,553.69,572.25,548.04,565.51,60955.48347,34075436.585,40440,0
2018-05-29 18:00:00,565.51,573.43,557.32,567.36,38089.50538,21568742.373,26973,0
2018-05-30 00:00:00,567.09,585.83,563.5,570.22,37338.46819,21440067.803,27212,0
2018-05-30 06:00:00,570.22,576.27,555.28,570.82,29253.17699,16546657.864,22814,1
2018-05-30 12:00:00,571.0,573.02,541.2,549.4,41212.52614,22800419.211,32145,0
2018-05-30 18:00:00,549.4,563.0,545.24,557.19,14328.09878,7911790.305199999,12140,0
2018-05-31 00:00:00,557.87,575.66,552.98,571.92,23844.968119999998,13425572.327,18670,0
2018-05-31 06:00:00,571.92,578.8,566.01,574.93,25381.69814,14555137.743,22926,0
2018-05-31 12:00:00,574.46,586.37,568.6,583.49,26861.44365,15471456.646000002,22198,0
2018-05-31 18:00:00,584.34,586.73,568.0,577.81,24013.41285,13860534.155000001,24669,0
2018-06-01 00:00:00,577.81,582.98,568.9,574.46,19972.53969,11485693.169,19525,0
2018-06-01 06:00:00,574.35,590.26,570.13,570.63,25339.17822,14775367.725,26096,0
2018-06-01 12:00:00,570.14,589.66,564.93,568.02,23248.48627,13330704.409,22379,0
2018-06-01 18:00:00,568.56,582.15,565.07,579.0,15280.637439999999,8742409.4627,17475,0
2018-06-02 00:00:00,579.0,582.8,572.9,581.24,11271.82166,6527978.0527,13628,0
2018-06-02 06:00:00,581.59,598.0,576.46,592.73,34567.23912,20416750.817,31355,0
2018-06-02 12:00:00,592.73,597.1,587.01,589.99,20879.58397,12354961.189000001,19126,0
2018-06-02 18:00:00,589.99,599.17,589.1,590.85,13539.50244,8047278.0709,16958,0
2018-06-03 00:00:00,590.85,597.07,590.1,596.39,9839.11147,5845457.8288,11759,0
2018-06-03 06:00:00,595.94,628.81,594.82,619.93,35988.07495,22149797.874,31958,0
2018-06-03 12:00:00,620.0,626.47,611.0,618.0,25247.81463,15646965.859,24218,0
2018-06-03 18:00:00,618.25,621.0,606.95,619.66,13048.3313,8018742.3464,15868,0
2018-06-04 00:00:00,619.66,625.47,610.2,615.31,15474.83725,9578443.135499999,15397,1
2018-06-04 06:00:00,615.31,615.93,591.2,592.32,37872.69027,22875749.777000003,31064,0
2018-06-04 12:00:00,592.46,598.38,580.15,586.54,28561.96045,16794596.376,23687,0
2018-06-04 18:00:00,586.54,599.96,584.54,591.02,14429.9571,8542528.4375,15861,0
2018-06-05 00:00:00,591.02,599.0,576.08,583.71,24302.13728,14199598.700100001,23597,0
2018-06-05 06:00:00,583.71,609.0,570.36,587.02,23071.51301,13576545.932,21498,0
2018-06-05 12:00:00,587.76,614.0,583.0,609.94,27235.97982,16354042.769,26383,0
2018-06-05 18:00:00,609.94,614.0,603.0,609.05,14444.1134,8788642.807300001,15479,0
2018-06-06 00:00:00,609.29,611.98,598.41,605.31,14855.511,8994323.065000001,14400,0
2018-06-06 06:00:00,605.31,613.35,600.05,606.01,19078.48128,11566997.047,20460,0
2018-06-06 12:00:00,606.01,612.67,593.4,596.98,21660.27967,13070118.0693,22209,0
2018-06-06 18:00:00,597.01,610.0,593.52,607.4,14558.649220000001,8774598.155499998,14206,0
2018-06-07 00:00:00,606.68,618.0,606.59,610.47,16886.30779,10352338.1078,17542,0
2018-06-07 06:00:00,610.46,613.12,605.08,607.6,16501.6299,10047729.977,15751,0
